idINS,osm_id,name,brand,shop,lon,lat
r200N2259800E3923600,3828316167,Casino Shop,Casino,supermarket,5.1103578,43.33105429
r200N2255200E3946600,6790201461,Casino,Casino,supermarket,5.3968466,43.30233519
r200N2280200E3952200,6899478857,Casino,Casino,supermarket,5.4476018,43.53041199
r200N2254000E3943400,7047294172,Casino,Casino,supermarket,5.3575813,43.29030949
r200N2258400E3953800,7406440956,Casino,Casino,supermarket,5.4815643,43.33591469
r200N2275000E3949400,7896898085,Casino,Casino,supermarket,5.4176235,43.48315709
r200N2253400E3945800,7923884989,Casino,Casino,supermarket,5.3878939,43.28511319
r200N2255600E3946400,8238409768,Casino,Casino,supermarket,5.392487,43.30544629
r200N2279600E3952600,8974923252,Casino,Casino,supermarket,5.4527386,43.52627929
r200N2270600E3947400,9032772781,Casino,Casino,supermarket,5.3951302,43.44144219
r200N2248600E3944600,10172226367,Vival,Casino,supermarket,5.3767048,43.24128549
r200N2242400E3963400,155917579,Netto,Géant Casino,supermarket,5.611502987,43.19552653
r200N2268800E3934200,179226279,Carrefour Market,Géant Casino,supermarket,5.234752063,43.41851011
r200N2254000E3953000,691639784,Géant Casino,Géant Casino,supermarket,5.476060426,43.29587225
r200N2257600E3948600,1555695972,Géant Casino,Géant Casino,supermarket,5.4184492,43.32537709
r200N2255200E3946800,68970487,Monoprix,Monoprix,supermarket,5.397754403,43.30247259
r200N2253600E3945400,69129646,Monoprix,Monoprix,supermarket,5.382988272,43.28806449
r200N2252200E3945800,154612249,Monoprix,Monoprix,supermarket,5.388977082,43.27426979
r200N2241000E3962800,437465831,Monoprix,Monoprix,supermarket,5.605678301,43.18404545
r200N2279800E3951600,429897499,Monoprix,Monoprix,supermarket,5.4414956,43.52617999
r200N2253400E3945600,1353030027,Monoprix,Monoprix,supermarket,5.3848382,43.28484659
r200N2279800E3952200,2441229016,Monoprix,Monoprix,supermarket,5.4483866,43.52693019
r200N2255200E3944400,3535162757,Monoprix,Monoprix,supermarket,5.3696956,43.30143469
r200N2254600E3945000,4622074310,Monoprix,Monoprix,supermarket,5.3773386,43.29607479
r200N2253400E3960400,4870093280,Monoprix,Monoprix,supermarket,5.5669824,43.29373679
r200N2253400E3944800,5173620322,Monoprix,Monoprix,supermarket,5.3750025,43.28498409
r200N2279800E3952000,5613973992,Monoprix,Monoprix,supermarket,5.4463507,43.52781929
r200N2280000E3952400,6898132997,Monoprix,Monoprix,supermarket,5.4491985,43.52946659
r200N2294000E3924800,7399280960,Monoprix,Monoprix,supermarket,5.0992043,43.63852839
r200N2255800E3944000,12122380638,Monoprix,Monoprix,supermarket,5.3649545,43.30678509
r200N2253800E3944000,70067128,Biocoop Endoume,Biocoop,supermarket,5.364313827,43.28817101
r200N2278200E3949400,88772101,Biocoop,Biocoop,supermarket,5.414910905,43.51079798
r200N2279200E3953200,302780552,Biocoop,Biocoop,supermarket,5.461046808,43.5223892
r200N2251000E3946600,354391030,Bio Coin Joli,Biocoop,supermarket,5.399680076,43.26542348
r200N2252600E3946200,2822223798,Biocoop,Biocoop,supermarket,5.3923748,43.27815459
r200N2259800E3951400,4325221209,Biocoop Chateau Gombert,Biocoop,supermarket,5.4515082,43.34703329
r200N2284200E3948800,5561671911,Biocoop La Coumpagnie Puyricard,Biocoop,supermarket,5.4036272,43.56478479
r200N2253600E3945600,6019909639,Biocoop,Biocoop,supermarket,5.3839948,43.28734969
r200N2254400E3946600,6019951594,Biocoop,Biocoop,supermarket,5.396229,43.29588509
r200N2250000E3945200,6031814733,Biocoop,Biocoop,supermarket,5.3835207,43.25428189
r200N2272200E3918200,6416604790,Biocoop,Biocoop,supermarket,5.0353555,43.43835859
r200N2262200E3943400,7432750118,Biocoop,Biocoop,supermarket,5.3513449,43.36443939
r200N2261200E3964400,8742055421,Biocoop,Biocoop,supermarket,5.6112441,43.36562749
r200N2274800E3934200,9293541617,Biocoop,Biocoop,supermarket,5.2309026,43.47189189
r200N2253000E3955600,9666127417,Biocoop,Biocoop,supermarket,5.5078407,43.28730259
r200N2241400E3962800,9874410218,Biocoop,Biocoop,supermarket,5.6045174,43.18768799
r200N2255400E3944400,10773469406,Biocoop,Biocoop,supermarket,5.3682076,43.30319899
r200N2259600E3951000,600221056,Grand Frais,Grand Frais,supermarket,5.447730499,43.34379305
r200N2253400E3953200,695831744,Grand Frais,Grand Frais,supermarket,5.478645777,43.29042221
r200N2267800E3945000,930959723,Grand Frais,Grand Frais,supermarket,5.368275702,43.4154993
r200N2269600E3935800,1100816206,Grand Frais,Grand Frais,supermarket,5.253259793,43.4260472
r200N2272400E3918400,1975383213,Grand Frais,Grand Frais,supermarket,5.0380323,43.44051579
r200N2294000E3922800,4908602634,Grand Frais,Grand Frais,supermarket,5.0757694,43.63863169
r200N2251600E3946200,12224182946,Grand Frais,Grand Frais,supermarket,5.3936611,43.27034139
r200N2285800E3954600,66538964,Picard,Picard,frozen_food,5.471876167,43.58256498
r200N2296800E3957400,84773176,Picard,Picard,frozen_food,5.49999165,43.68235099
r200N2280800E3949200,86901775,Picard,Picard,frozen_food,5.41109901,43.53433419
r200N2278000E3948400,88767933,Picard,Picard,frozen_food,5.403089146,43.5080048
r200N2253800E3962600,92583262,Picard,Picard,frozen_food,5.594373072,43.29818298
r200N2250800E3947000,153533326,Picard,Picard,frozen_food,5.404715697,43.26372406
r200N2252000E3948000,154572044,Picard,Picard,frozen_food,5.414704813,43.27452805
r200N2253800E3950600,157739027,Picard,Picard,frozen_food,5.445958937,43.29165626
r200N2255800E3950200,158126490,Picard,Picard,frozen_food,5.44035277,43.30946438
r200N2279200E3913800,225126927,Picard,Picard,frozen_food,4.976358288,43.50032999
r200N2272000E3965200,807462647,Picard,Picard,frozen_food,5.612594322,43.4635158
r200N2270400E3936600,986767069,Picard,Picard,frozen_food,5.261261542,43.43450779
r200N2293400E3924200,363985046,Picard,Picard,frozen_food,5.092233,43.63442489
r200N2255200E3946400,1700152953,Picard,Picard,frozen_food,5.3946126,43.30223699
r200N2278400E3951600,1786410461,Picard,Picard,frozen_food,5.4422394,43.51411789
r200N2254800E3946600,1870149202,Picard,Picard,frozen_food,5.3976776,43.29830229
r200N2255200E3948200,2081936436,Picard,Picard,frozen_food,5.415043,43.30411709
r200N2253800E3945800,2137516942,Picard,Picard,frozen_food,5.3875796,43.28866829
r200N2273000E3953000,2173094393,Picard surgelés,Picard,frozen_food,5.4632091,43.46601619
r200N2255800E3947000,2174798904,Picard,Picard,frozen_food,5.4004005,43.30836139
r200N2251000E3946000,2425875285,Picard,Picard,frozen_food,5.3920321,43.26446689
r200N2250000E3948200,3980157288,Picard,Picard,frozen_food,5.4204115,43.25661169
r200N2255400E3944400,4073555192,Picard,Picard,frozen_food,5.3691057,43.30216149
r200N2253200E3945800,4235307793,Picard,Picard,frozen_food,5.3867237,43.28443809
r200N2254400E3945000,4235398945,Picard,Picard,frozen_food,5.3762743,43.29481479
r200N2268800E3933800,4601651794,Picard,Picard,frozen_food,5.2300393,43.41842199
r200N2253000E3949600,5182344515,Picard,Picard,frozen_food,5.4352361,43.28452489
r200N2280400E3952000,5983713866,Picard,Picard,frozen_food,5.4455009,43.53242029
r200N2292600E3926600,6633002803,Picard,Picard,frozen_food,5.1229011,43.62817249
r200N2252600E3945800,6723046672,Picard,Picard,frozen_food,5.3887589,43.27785129
r200N2253600E3943800,8659096793,Picard,Picard,frozen_food,5.3634807,43.28652529
r200N2240600E3970000,9029772710,Picard,Picard,frozen_food,5.6935714,43.18337119
r200N2263800E3963600,11305982337,Picard,Picard,frozen_food,5.5996542,43.38838899
r200N2249200E3945800,12486244767,Picard,Picard,frozen_food,5.3902879,43.24786269
r200N2252600E3961600,92607834,Thiriet,Thiriet,frozen_food,5.582125825,43.2867165
r200N2282000E3913000,179300491,Thiriet,Thiriet,frozen_food,4.963138391,43.52458977
r200N2253400E3953000,10047867007,Thiriet,Thiriet,frozen_food,5.4749085,43.29047809
